graph algo p k cores seed v local_e cross_e read_time running_time rounds matching_size matching_weight
fb_clusterA_full kCS ukahip 4 32 1 357059 9696157 33361354 13.373645 3.447289 164 16323 17915560645.00
fb_clusterA_full kCS ukahip 4 32 2 357059 10467782 32589729 13.673069 4.142819 170 16325 17915579755.00
fb_clusterA_full kCS ukahip 4 4 0 357059 42965220 92291 16.387724 8.135483 150 16324 17915574452.00
fb_clusterA_full kCS ukahip 4 4 1 357059 41770833 1286678 16.385797 8.156812 149 16320 17915563825.00
fb_clusterA_full kCS ukahip 4 4 2 357059 42944638 112873 16.376548 8.150684 152 16328 17915570037.00
fb_clusterA_full kCS ukahip 4 8 0 357059 33446963 9610548 15.807745 8.132711 160 16327 17915574086.00
fb_clusterA_full kCS ukahip 4 8 1 357059 31863307 11194204 15.870333 7.877116 170 16322 17915561394.00
fb_clusterA_full kCS ukahip 4 8 2 357059 33466987 9590524 15.852075 8.040883 163 16320 17915577510.00
fb_clusterA_full kCS ukahip 8 16 0 357059 16013777 27043734 14.431473 6.119940 324 32307 29135369634.00
fb_clusterA_full kCS ukahip 8 16 1 357059 18784701 24272810 15.253490 7.453673 331 32305 29135369847.00
fb_clusterA_full kCS ukahip 8 16 2 357059 17038054 26019457 15.061127 6.926121 308 32299 29135369397.00
fb_clusterA_full kCS ukahip 8 32 0 357059 9692077 33365434 13.481792 3.545092 327 32303 29135374116.00
fb_clusterA_full kCS ukahip 8 32 1 357059 9696157 33361354 13.417235 3.519731 319 32308 29135353660.00
fb_clusterA_full kCS ukahip 8 32 2 357059 10467782 32589729 13.810031 4.217600 319 32296 29135364855.00
fb_clusterA_full kCS ukahip 8 4 0 357059 42965220 92291 16.403498 8.345991 289 32305 29135363674.00
fb_clusterA_full kCS ukahip 8 4 1 357059 41770833 1286678 16.518902 8.393863 310 32306 29135369803.00
fb_clusterA_full kCS ukahip 8 4 2 357059 42944638 112873 16.446016 8.382695 295 32295 29135357668.00
fb_clusterA_full kCS ukahip 8 8 0 357059 33446963 9610548 15.745284 8.304774 307 32306 29135365116.00
fb_clusterA_full kCS ukahip 8 8 1 357059 31863307 11194204 15.580179 8.032015 321 32316 29135364723.00
fb_clusterA_full kCS ukahip 8 8 2 357059 33466987 9590524 16.276689 8.231127 304 32298 29135367888.00
fb_clusterA_full kCS umetis 4 16 0 357059 15220882 27836629 14.442441 5.607915 164 16328 17915559666.00
fb_clusterA_full kCS umetis 4 16 1 357059 15220882 27836629 14.395012 5.519587 164 16328 17915559666.00
fb_clusterA_full kCS umetis 4 16 2 357059 15519405 27538106 14.336192 5.612178 161 16326 17915565026.00
fb_clusterA_full kCS umetis 4 32 0 357059 7338638 35718873 13.239368 2.472461 155 16325 17915552227.00
fb_clusterA_full kCS umetis 4 32 1 357059 7338638 35718873 13.365440 2.468685 155 16325 17915552227.00
fb_clusterA_full kCS umetis 4 32 2 357059 7406646 35650865 13.826990 2.193928 171 16324 17915561202.00
fb_clusterA_full kCS umetis 4 4 0 357059 43006010 51501 16.417961 8.101964 166 16322 17915572456.00
fb_clusterA_full kCS umetis 4 4 1 357059 43006010 51501 16.152131 8.098640 166 16322 17915572456.00
fb_clusterA_full kCS umetis 4 4 2 357059 43006181 51330 16.680517 8.088561 156 16327 17915570300.00
fb_clusterA_full kCS umetis 4 8 0 357059 23697579 19359932 15.149325 6.988782 156 16329 17915577988.00
fb_clusterA_full kCS umetis 4 8 1 357059 23697579 19359932 15.166267 7.018380 156 16329 17915577988.00
fb_clusterA_full kCS umetis 4 8 2 357059 24028573 19028938 15.191115 7.032181 176 16322 17915579583.00
fb_clusterA_full kCS umetis 8 16 0 357059 15220882 27836629 14.732112 5.643323 326 32307 29135370832.00
fb_clusterA_full kCS umetis 8 16 1 357059 15220882 27836629 14.468272 5.641205 326 32307 29135370832.00
fb_clusterA_full kCS umetis 8 16 2 357059 15519405 27538106 14.476759 5.771413 302 32304 29135367483.00
fb_clusterA_full kCS umetis 8 32 0 357059 7338638 35718873 13.255816 2.555978 316 32301 29135364288.00
fb_clusterA_full kCS umetis 8 32 1 357059 7338638 35718873 13.232028 2.573351 316 32301 29135364288.00
fb_clusterA_full kCS umetis 8 32 2 357059 7406646 35650865 13.158559 2.264722 313 32302 29135361851.00
fb_clusterA_full kCS umetis 8 4 0 357059 43006010 51501 16.230609 8.278224 310 32311 29135362164.00
fb_clusterA_full kCS umetis 8 4 1 357059 43006010 51501 16.208919 8.289798 310 32311 29135362164.00
fb_clusterA_full kCS umetis 8 4 2 357059 43006181 51330 16.215138 8.288622 312 32306 29135377986.00
fb_clusterA_full kCS umetis 8 8 0 357059 23697579 19359932 15.157068 7.126403 302 32300 29135360175.00
fb_clusterA_full kCS umetis 8 8 1 357059 23697579 19359932 15.148895 7.123182 302 32300 29135360175.00
