graph,algo,k,seed,n,m,read_time,running_time,matching_size,matching_weight
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,0,16777216,402652592,301.367672,962.196415,130582695,52727143374649.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,1,16777216,402652592,296.259834,965.425947,130582583,52727098924453.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,2,16777216,402652592,276.112752,650.401883,130582662,52727104865721.00
rmat_s16_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,0,65536,2788534,1.028804,0.391363,299519,21601585622.00
rmat_s16_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,1,65536,2788534,1.035562,0.419781,299519,21601585622.00
rmat_s16_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,2,65536,2788534,1.252758,0.355099,299519,21601585622.00
rmat_s16_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,0,65536,2788534,1.488245,2.481398,298189,21533983268.00
rmat_s16_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,1,65536,2788534,1.817305,2.397747,298184,21534013304.00
rmat_s16_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,2,65536,2788534,1.537261,2.023835,298187,21534042085.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_uni,kMM_1,16,0,8388608,198780869,135.685090,50.541285,23838035,8498454816111.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_uni,kMM_1,16,1,8388608,198780869,135.675712,50.529013,23838035,8498454816111.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_uni,kMM_1,16,2,8388608,198780869,84.947168,40.835285,23838035,8498454816111.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_uni,MRepLM_1,16,0,8388608,198780869,135.324663,809.680333,23645801,8423773405709.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_uni,MRepLM_1,16,1,8388608,198780869,134.633742,814.266156,23645781,8423770392344.00
