graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s22_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 32 2 4194304 3145812 97516889 42.201596 1.745737 93 16388839 7205396180896.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 32 0 4194304 3144068 97417202 41.889731 1.911161 93 14409364 1090570982090.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 32 1 4194304 3142516 97418754 41.620178 1.901157 93 14409379 1090571167402.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 32 2 4194304 3140666 97420604 41.825076 1.912926 93 14409396 1090571206923.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 32 0 4194304 3143016 97417785 43.003465 1.905398 91 14409945 5778935868116.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 32 1 4194304 3140836 97419965 42.244622 1.930325 91 14409928 5778927801749.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 32 2 4194304 3143580 97417221 42.139461 1.961634 90 14409971 5778941628351.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 32 0 4194304 3097187 95908214 41.535762 1.390664 102 7469176 536315014618.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 32 1 4194304 3095441 95909960 41.108457 1.413756 103 7469174 536314893943.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 32 2 4194304 3095698 95909703 41.111472 1.422831 103 7469175 536315046421.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 32 0 4194304 3092026 95911471 41.283125 1.386126 95 7467279 2782470056184.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 32 1 4194304 3096629 95906868 43.142323 1.415401 95 7467259 2782464639946.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 32 2 4194304 3093376 95910121 42.912036 1.412714 95 7467270 2782467606518.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 64 0 8388608 3147524 198178446 84.390665 2.637089 93 32777740 2777196047155.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 64 1 8388608 3141946 198184024 85.121124 2.649270 93 32777743 2777195198065.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 64 2 8388608 3146093 198179877 86.931922 2.630000 93 32777706 2777196136857.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 64 0 8388608 3143895 198182090 92.326495 2.643774 96 32779085 14410977049853.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 64 1 8388608 3146119 198179866 84.459227 2.648717 96 32779202 14411002007850.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 64 2 8388608 3144427 198181558 85.220669 2.600625 96 32779065 14410982856312.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 64 0 8388608 3143555 198049028 86.091038 2.860354 91 28597442 2159091353693.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 64 1 8388608 3144291 198048292 84.554479 2.863691 91 28597426 2159090392288.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 64 2 8388608 3143609 198048974 85.790788 2.872933 91 28597405 2159089955789.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 64 0 8388608 3144072 198050037 85.322647 2.848220 91 28597931 11439899259639.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 64 1 8388608 3143104 198051005 87.036417 2.871517 92 28597958 11439913031842.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 64 2 8388608 3146069 198048040 91.140973 2.888786 91 28597872 11439893007659.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 64 0 8388608 3105449 195675454 82.249284 2.903269 101 14397026 1032807505602.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 64 1 8388608 3105570 195675333 85.720589 2.981092 100 14397009 1032807044170.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 64 2 8388608 3106237 195674666 84.671727 2.955058 101 14397023 1032807492779.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 64 0 8388608 3105585 195675284 83.430505 2.836041 100 14397315 5355193761713.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 64 1 8388608 3106558 195674311 85.603566 2.833329 99 14397319 5355195270686.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 64 2 8388608 3104279 195676590 83.378010 2.835889 100 14397320 5355185867982.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 128 0 16777216 3144024 399508594 181.843166 3.570512 92 65558041 5554051844709.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 128 1 16777216 3141012 399511606 189.800080 3.555876 92 65558068 5554049821570.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 128 0 16777216 3145463 399507129 196.918304 3.522680 93 65558444 28822098523014.00
