graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
fbA GKM random 8 1 0 357059 43057511 0 29.485967 11.757347 315 32298 29135367040.00
fbC GKM random 8 1 0 990023 40654711 0 36.297206 14.300621 307 31001 239913210946.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp GKM random 8 1 0 1048576 50329356 0 53.377214 10.664497 103 4148176 438656359195.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni GKM random 8 1 0 1048576 50329246 0 48.979455 10.682686 105 4148291 1932889605303.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp GKM random 8 1 0 1048576 50135288 0 45.586838 11.856477 102 3903505 362538726581.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni GKM random 8 1 0 1048576 50135639 0 46.871595 11.768491 98 3904212 1689093604396.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp GKM random 8 1 0 1048576 48121491 0 40.743793 11.908011 93 2384060 193423407917.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni GKM random 8 1 0 1048576 48125802 0 41.328523 11.798539 93 2384724 931767256300.00
fbA GKM random 8 2 0 357059 21518468 21539043 28.178476 7.595654 325 32298 29135367040.00
fbA GKM random 8 2 1 357059 21533735 21523776 28.356704 7.663893 314 32305 29135359363.00
fbC GKM random 8 2 0 990023 20325086 20329625 37.261753 9.730592 323 31001 239913210946.00
fbC GKM random 8 2 1 990023 20321877 20332834 36.359162 9.657350 304 30999 239913208117.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp GKM random 8 2 0 1048576 25158138 25171218 41.724863 6.406589 110 4148176 438656359195.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp GKM random 8 2 1 1048576 25161224 25168132 41.029201 6.427077 108 4148173 438656969067.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni GKM random 8 2 0 1048576 25165098 25164148 42.192694 6.452694 107 4148291 1932889605303.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni GKM random 8 2 1 1048576 25166624 25162622 41.975156 6.429692 106 4148315 1932889975893.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp GKM random 8 2 0 1048576 25070612 25064676 39.061645 7.224202 103 3903505 362538726581.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp GKM random 8 2 1 1048576 25068784 25066504 40.243756 7.228514 102 3903502 362538487536.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni GKM random 8 2 0 1048576 25063135 25072504 39.964037 7.196493 99 3904212 1689093604396.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni GKM random 8 2 1 1048576 25067561 25068078 39.441499 7.198474 98 3904188 1689092347497.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp GKM random 8 2 0 1048576 24063168 24058323 36.262433 7.149995 96 2384060 193423407917.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp GKM random 8 2 1 1048576 24067675 24053816 36.119351 7.171004 96 2384061 193423387715.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni GKM random 8 2 0 1048576 24056023 24069779 40.850266 7.160553 96 2384724 931767256300.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni GKM random 8 2 1 1048576 24066811 24058991 37.040509 7.166878 97 2384788 931772678205.00
fbA GKM random 8 4 0 357059 10763443 32294068 27.990728 3.460691 328 32298 29135367040.00
fbA GKM random 8 4 1 357059 10771595 32285916 28.011712 3.500830 324 32305 29135359363.00
fbC GKM random 8 4 0 990023 10159692 30495019 27.513514 5.500304 332 31001 239913210946.00
fbC GKM random 8 4 1 990023 10161134 30493577 26.858023 5.116535 311 30999 239913208117.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp GKM random 8 4 0 1048576 12581650 37747706 36.945492 3.608364 110 4148176 438656359195.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp GKM random 8 4 1 1048576 12580783 37748573 37.490070 3.558465 112 4148173 438656969067.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni GKM random 8 4 0 1048576 12584425 37744821 43.668711 3.496576 107 4148291 1932889605303.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni GKM random 8 4 1 1048576 12587691 37741555 40.921980 3.557607 107 4148315 1932889975893.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp GKM random 8 4 0 1048576 12534695 37600593 36.167918 3.949587 105 3903505 362538726581.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp GKM random 8 4 1 1048576 12532591 37602697 39.666009 3.956137 104 3903502 362538487536.00
