graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s27_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 64 2 134217728 16782411 1056959335 37.996786 12.691891 48 250130212 101317849243746.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 64 0 134217728 16766719 1056883262 36.903619 13.397134 54 196298332 13110582413470.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 64 1 134217728 16771069 1056878912 36.906787 13.507909 54 196298304 13110583482222.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 64 2 134217728 16774079 1056875902 37.173030 13.535626 54 196298347 13110583925398.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 64 0 134217728 16781660 1056868775 38.469605 13.403917 51 196299603 73901323064579.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 64 1 134217728 16777770 1056872665 38.057422 13.555524 51 196299534 73901323668288.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 64 2 134217728 16778328 1056872107 37.894821 13.368677 51 196299557 73901330089645.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_exp kCS random 4 64 0 134217728 16744158 1055088544 34.875335 10.739194 58 84619286 5701195127799.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_exp kCS random 4 64 1 134217728 16749462 1055083240 34.598266 10.594756 57 84619296 5701195445358.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_exp kCS random 4 64 2 134217728 16745240 1055087462 34.611242 10.619323 58 84619299 5701196006119.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_uni kCS random 4 64 0 134217728 16751190 1055079445 36.142195 10.505181 59 84616264 30544657384364.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_uni kCS random 4 64 1 134217728 16743744 1055086891 35.233388 10.672966 59 84616274 30544667608292.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_uni kCS random 4 64 2 134217728 16739981 1055090654 36.236751 10.652929 59 84616260 30544657179008.00
rmat_s26_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 128 0 67108864 4195175 532675661 20.383608 3.344081 45 125065386 8854422200191.00
rmat_s26_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 128 1 67108864 4196704 532674132 20.404818 3.376639 45 125065369 8854420678476.00
rmat_s26_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 128 2 67108864 4194070 532676766 20.468073 3.362651 45 125065321 8854420549794.00
rmat_s26_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 128 0 67108864 4193329 532677526 22.196396 3.378385 45 125065205 50660540654503.00
rmat_s26_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 128 1 67108864 4195542 532675313 21.198330 3.371699 45 125065186 50660541910799.00
rmat_s26_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 128 2 67108864 4197605 532673250 21.552395 3.379725 45 125065164 50660534010382.00
rmat_s26_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 128 0 67108864 4193839 532609881 21.015537 3.369262 49 99094976 6623446619308.00
rmat_s26_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 128 1 67108864 4192994 532610726 20.331789 3.374538 49 99095010 6623447029750.00
rmat_s26_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 128 2 67108864 4192394 532611326 20.513207 3.391034 49 99094955 6623446916080.00
rmat_s26_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 128 0 67108864 4190194 532613499 21.737134 3.373193 50 99095682 37362769918169.00
rmat_s26_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 128 1 67108864 4193040 532610653 21.045558 3.343920 50 99095691 37362776940124.00
rmat_s26_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 128 2 67108864 4194639 532609054 21.096103 3.387816 50 99095703 37362766487343.00
rmat_s26_ef8_0.55_0.15_0.15_0.15_exp kCS random 4 128 0 67108864 4184438 531415519 19.137514 2.800304 57 43903068 2956613069486.00
