graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 2 2 1048576 24062508 24063294 22.848573 5.245897 98 2384764 931775934348.00
fbA kCS random 8 4 0 357059 10763443 32294068 17.320266 2.664918 328 32298 29135367040.00
fbA kCS random 8 4 1 357059 10771595 32285916 17.385066 2.684068 324 32305 29135359363.00
fbC kCS random 8 4 0 990023 10159692 30495019 17.069351 3.443833 332 31001 239913210946.00
fbC kCS random 8 4 1 990023 10161134 30493577 16.790079 3.260626 311 30999 239913208117.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 4 0 1048576 12581650 37747706 22.472971 2.237572 110 4148176 438656359195.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 4 1 1048576 12580783 37748573 22.504232 2.258342 112 4148173 438656969067.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 4 0 1048576 12584425 37744821 22.802275 2.262395 107 4148291 1932889605303.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 4 1 1048576 12587691 37741555 22.802124 2.268166 107 4148315 1932889975893.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 4 0 1048576 12534695 37600593 22.305506 2.579870 105 3903505 362538726581.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 4 1 1048576 12532591 37602697 22.152259 2.572787 104 3903502 362538487536.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 4 0 1048576 12534444 37601195 22.667343 2.564120 101 3904212 1689093604396.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 4 1 1048576 12537200 37598439 22.566867 2.643491 101 3904188 1689092347497.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 4 0 1048576 12030506 36090985 20.878824 2.641624 97 2384060 193423407917.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 4 1 1048576 12031109 36090382 20.849582 2.646627 99 2384061 193423387715.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 4 0 1048576 12024242 36101560 22.359802 2.629085 100 2384724 931767256300.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 4 1 1048576 12030291 36095511 21.534948 2.625374 98 2384788 931772678205.00
fbA kCS random 8 4 2 357059 10764721 32292790 17.165369 2.675917 328 32293 29135358011.00
fbC kCS random 8 4 2 990023 10164936 30489775 17.063916 3.502354 325 31000 239913214155.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 4 2 1048576 12578575 37750781 22.840559 2.244132 109 4148162 438656721325.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 4 2 1048576 12587006 37742240 22.828066 2.250036 107 4148301 1932891248795.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 4 2 1048576 12538050 37597238 22.199389 2.580150 104 3903504 362538651240.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 4 2 1048576 12531868 37603771 22.389845 2.598649 100 3904159 1689086479759.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 4 2 1048576 12032859 36088632 20.586165 2.636727 98 2384058 193423310667.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 4 2 1048576 12032890 36092912 21.072480 2.673383 99 2384764 931775934348.00
fbA kCS random 8 8 0 357059 5384110 37673401 16.682935 1.358987 332 32298 29135367040.00
fbA kCS random 8 8 1 357059 5383848 37673663 16.858412 1.411530 326 32305 29135359363.00
fbC kCS random 8 8 0 990023 5077237 35577474 16.476430 1.761768 333 31001 239913210946.00
fbC kCS random 8 8 1 990023 5079579 35575132 16.492151 1.678060 314 30999 239913208117.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 8 0 1048576 6288723 44040633 21.373532 1.173004 111 4148176 438656359195.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 8 1 1048576 6290909 44038447 21.169299 1.158019 113 4148173 438656969067.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 8 0 1048576 6294547 44034699 21.625697 1.156293 108 4148291 1932889605303.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 8 1 1048576 6291636 44037610 21.565618 1.168817 108 4148315 1932889975893.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 8 0 1048576 6265335 43869953 22.188482 1.293508 105 3903505 362538726581.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 8 1 1048576 6267107 43868181 21.603506 1.298974 105 3903502 362538487536.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 8 0 1048576 6269204 43866435 21.235004 1.310499 104 3904212 1689093604396.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 8 1 1048576 6269423 43866216 22.072524 1.297190 103 3904188 1689092347497.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 8 0 1048576 6015398 42106093 19.827730 1.327328 99 2384060 193423407917.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 8 1 1048576 6013437 42108054 19.742365 1.298859 99 2384061 193423387715.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 8 0 1048576 6013220 42112582 20.122333 1.294170 100 2384724 931767256300.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 8 1 1048576 6015477 42110325 19.794084 1.314469 100 2384788 931772678205.00
fbA kCS random 8 8 2 357059 5383808 37673703 16.786473 1.403838 330 32293 29135358011.00
fbC kCS random 8 8 2 990023 5081596 35573115 16.611734 1.769759 331 31000 239913214155.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 8 2 1048576 6291387 44037969 21.517265 1.162104 112 4148162 438656721325.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 8 2 1048576 6296385 44032861 21.653035 1.162934 107 4148301 1932891248795.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 8 2 1048576 6269292 43865996 20.934048 1.304100 105 3903504 362538651240.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 8 2 1048576 6267020 43868619 22.457252 1.303027 104 3904159 1689086479759.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 8 2 1048576 6018977 42102514 20.229783 1.321383 100 2384058 193423310667.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 8 2 1048576 6018915 42106887 20.177809 1.296740 99 2384764 931775934348.00
fbA kCS random 8 16 0 357059 2693549 40363962 27.714160 0.742990 333 32298 29135367040.00
fbA kCS random 8 16 1 357059 2693409 40364102 32.118866 0.750345 329 32305 29135359363.00
fbC kCS random 8 16 0 990023 2536958 38117753 16.330808 1.171750 335 31001 239913210946.00
fbC kCS random 8 16 1 990023 2538977 38115734 16.368067 1.171864 316 30999 239913208117.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 16 0 1048576 3143652 47185704 21.463581 0.761728 111 4148176 438656359195.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 16 1 1048576 3145279 47184077 21.147629 0.752767 113 4148173 438656969067.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 16 0 1048576 3148428 47180818 20.909537 0.754095 108 4148291 1932889605303.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 16 1 1048576 3147824 47181422 25.073725 0.750216 108 4148315 1932889975893.00
