graph algo epsilon k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
fb_clusterA_full kM 0.01 16 32 0 357059 1347533 41709978 2.616973 5.728916 211 62645 47876757393.00
fb_clusterA_full kM 0.01 16 32 1 357059 1346507 41711004 2.727345 6.152886 212 62648 47867686098.00
fb_clusterA_full kM 0.01 16 32 2 357059 1346563 41710948 2.830306 5.216616 209 62661 47873673664.00
fb_clusterA_full kM 0.01 16 8 0 357059 5384110 37673401 2.953305 7.445683 213 62652 47873033946.00
fb_clusterA_full kM 0.01 16 8 1 357059 5383848 37673663 2.963626 8.442286 211 62659 47868254246.00
fb_clusterA_full kM 0.01 16 8 2 357059 5383808 37673703 3.117739 8.815847 212 62646 47878059698.00
fb_clusterA_full kM 0.01 2 1 0 357059 43057511 0 12.969963 32.171747 41 8245 10459601594.00
fb_clusterA_full kM 0.01 2 1 1 357059 43057511 0 13.737970 34.822091 41 8245 10459601594.00
fb_clusterA_full kM 0.01 2 1 2 357059 43057511 0 14.670116 36.995972 41 8245 10459601594.00
fb_clusterA_full kM 0.01 2 32 0 357059 1347533 41709978 2.386993 0.810683 40 8247 10447060461.00
fb_clusterA_full kM 0.01 2 32 1 357059 1346507 41711004 3.100079 0.813484 39 8243 10466875062.00
fb_clusterA_full kM 0.01 2 32 2 357059 1346563 41710948 2.991269 0.852284 48 8247 10438249920.00
fb_clusterA_full kM 0.01 2 8 0 357059 5384110 37673401 2.988930 1.118633 39 8245 10445189483.00
fb_clusterA_full kM 0.01 2 8 1 357059 5383848 37673663 3.044404 1.338825 42 8246 10440218128.00
fb_clusterA_full kM 0.01 2 8 2 357059 5383808 37673703 3.169993 1.290339 39 8238 10444111070.00
fb_clusterA_full kM 0.01 8 1 0 357059 43057511 0 19.519283 167.951249 127 32324 29141626154.00
fb_clusterA_full kM 0.01 8 1 1 357059 43057511 0 21.406256 169.066654 127 32324 29141626154.00
fb_clusterA_full kM 0.01 8 1 2 357059 43057511 0 21.976717 170.806173 127 32324 29141626154.00
fb_clusterA_full kM 0.01 8 32 0 357059 1347533 41709978 2.594863 3.202339 125 32330 29150359397.00
fb_clusterA_full kM 0.01 8 32 1 357059 1346507 41711004 2.988913 4.212725 131 32342 29153867328.00
fb_clusterA_full kM 0.01 8 32 2 357059 1346563 41710948 3.071673 3.830783 128 32332 29149579830.00
fb_clusterA_full kM 0.01 8 8 0 357059 5384110 37673401 2.944620 4.094661 127 32333 29161815318.00
fb_clusterA_full kM 0.01 8 8 1 357059 5383848 37673663 3.001745 5.268500 127 32338 29158681683.00
fb_clusterA_full kM 0.01 8 8 2 357059 5383808 37673703 3.068626 5.877511 125 32328 29157622225.00
fb_clusterA_full kM 0.1 16 1 0 357059 43057511 0 18.265958 50.334821 66 62687 47751485168.00
fb_clusterA_full kM 0.1 16 1 1 357059 43057511 0 18.451606 50.058672 66 62687 47751485168.00
fb_clusterA_full kM 0.1 16 1 2 357059 43057511 0 18.665163 53.258724 66 62687 47751485168.00
fb_clusterA_full kM 0.1 16 32 0 357059 1347533 41709978 2.344593 1.732344 66 62691 47741208767.00
fb_clusterA_full kM 0.1 16 32 1 357059 1346507 41711004 2.792416 1.680963 67 62681 47761319126.00
fb_clusterA_full kM 0.1 16 32 2 357059 1346563 41710948 2.824556 1.563237 64 62675 47757611277.00
fb_clusterA_full kM 0.1 16 8 0 357059 5384110 37673401 3.047797 2.063266 65 62690 47757661153.00
fb_clusterA_full kM 0.1 16 8 1 357059 5383848 37673663 3.021686 3.153882 66 62681 47761077965.00
fb_clusterA_full kM 0.1 16 8 2 357059 5383808 37673703 3.025956 3.116780 66 62681 47756859623.00
fb_clusterA_full kM 0.1 2 1 0 357059 43057511 0 16.063292 12.936062 23 8253 10418982805.00
fb_clusterA_full kM 0.1 2 1 1 357059 43057511 0 16.820964 16.887569 23 8253 10418982805.00
fb_clusterA_full kM 0.1 2 1 2 357059 43057511 0 16.080893 15.822381 23 8253 10418982805.00
fb_clusterA_full kM 0.1 2 32 0 357059 1347533 41709978 3.659754 0.540920 24 8246 10397337964.00
fb_clusterA_full kM 0.1 2 32 1 357059 1346507 41711004 4.023091 0.528803 23 8244 10421414883.00
fb_clusterA_full kM 0.1 2 32 2 357059 1346563 41710948 3.358219 0.482383 26 8251 10394703784.00
fb_clusterA_full kM 0.1 2 8 0 357059 5384110 37673401 3.019200 0.701575 26 8240 10388480449.00
fb_clusterA_full kM 0.1 2 8 1 357059 5383848 37673663 2.986102 0.686425 25 8247 10391270600.00
fb_clusterA_full kM 0.1 2 8 2 357059 5383808 37673703 3.035642 0.719926 27 8242 10406380875.00
fb_clusterA_full kM 0 16 1 0 357059 43057511 0 11.514816 468.037830 359 62644 47878020515.00
fb_clusterA_full kM 0 16 1 1 357059 43057511 0 11.640673 466.666507 359 62644 47878020515.00
fb_clusterA_full kM 0 16 1 2 357059 43057511 0 11.644272 469.763311 359 62644 47878020515.00
fb_clusterA_full kM 0 16 32 0 357059 1347533 41709978 2.467025 12.885723 350 62650 47867164765.00
fb_clusterA_full kM 0 16 32 1 357059 1346507 41711004 3.601616 14.095226 357 62674 47868634198.00
fb_clusterA_full kM 0 16 32 2 357059 1346563 41710948 3.773416 13.389644 360 62646 47866348496.00
fb_clusterA_full kM 0 16 8 0 357059 5384110 37673401 4.004612 16.016632 356 62665 47877745473.00
fb_clusterA_full kM 0 16 8 1 357059 5383848 37673663 3.038606 17.186882 366 62660 47869308593.00
fb_clusterA_full kM 0 16 8 2 357059 5383808 37673703 3.134565 16.015139 353 62657 47870091890.00
fb_clusterA_full kM 0.1 8 1 0 357059 43057511 0 19.381177 37.036806 46 32346 29103283227.00
fb_clusterA_full kM 0.1 8 1 1 357059 43057511 0 21.870310 36.056373 46 32346 29103283227.00
fb_clusterA_full kM 0.1 8 1 2 357059 43057511 0 21.975210 34.136871 46 32346 29103283227.00
fb_clusterA_full kM 0.1 8 32 0 357059 1347533 41709978 3.009399 1.309813 49 32352 29099939568.00
fb_clusterA_full kM 0.1 8 32 1 357059 1346507 41711004 2.861997 1.215635 49 32363 29095970325.00
fb_clusterA_full kM 0.1 8 32 2 357059 1346563 41710948 2.548194 0.956808 47 32358 29110320648.00
fb_clusterA_full kM 0.1 8 8 0 357059 5384110 37673401 2.958642 1.642863 47 32327 29104618150.00
fb_clusterA_full kM 0.1 8 8 1 357059 5383848 37673663 3.059120 1.588043 48 32344 29110573962.00
fb_clusterA_full kM 0.1 8 8 2 357059 5383808 37673703 3.135902 1.670420 48 32334 29116081529.00
fb_clusterA_full kM 0 2 1 0 357059 43057511 0 21.220738 54.817755 55 8245 10417549080.00
fb_clusterA_full kM 0 2 1 1 357059 43057511 0 21.712659 54.649574 55 8245 10417549080.00
fb_clusterA_full kM 0 2 1 2 357059 43057511 0 22.306777 52.306403 55 8245 10417549080.00
fb_clusterA_full kM 0 2 32 0 357059 1347533 41709978 2.362718 1.041282 49 8243 10444464685.00
fb_clusterA_full kM 0 2 32 1 357059 1346507 41711004 3.702328 1.336884 49 8245 10442820893.00
fb_clusterA_full kM 0 2 32 2 357059 1346563 41710948 3.696167 1.217130 49 8239 10429516615.00
fb_clusterA_full kM 0 2 8 0 357059 5384110 37673401 3.111347 1.220898 48 8241 10437761112.00
fb_clusterA_full kM 0 2 8 1 357059 5383848 37673663 3.020197 1.264846 50 8240 10444274241.00
fb_clusterA_full kM 0 2 8 2 357059 5383808 37673703 3.063297 1.596206 54 8245 10437968386.00
fb_clusterA_full kM 0.5 16 1 0 357059 43057511 0 21.655212 16.439677 14 62740 44345773960.00
fb_clusterA_full kM 0.5 16 1 1 357059 43057511 0 21.753073 16.694198 14 62740 44345773960.00
fb_clusterA_full kM 0.5 16 1 2 357059 43057511 0 22.259670 17.062869 14 62740 44345773960.00
fb_clusterA_full kM 0.5 16 32 0 357059 1347533 41709978 3.525725 0.646817 15 62729 44424470988.00
fb_clusterA_full kM 0.5 16 32 1 357059 1346507 41711004 3.812236 0.631708 15 62717 44407915546.00
fb_clusterA_full kM 0.5 16 32 2 357059 1346563 41710948 3.120770 0.618452 15 62727 44453606808.00
fb_clusterA_full kM 0.5 16 8 0 357059 5384110 37673401 2.998237 0.942037 15 62727 44386728888.00
